role,title,company,location,stipend,duration,skills_required,description,ppo,source
data-analyst,operations,proofile.in,Bangalore,"₹ 12,000 - 45,000 /month",3 Months,"leadership, team management, strategy, problem solving, english proficiency (spoken), english proficiency (written), effective communication","1. complete assigned tasks and projects within the given timelines.
2. attend daily/weekly team meetings and actively participate in discussions.
3. update work progress regularly and submit daily activity reports.
4. engage with the proofile platform by maintaining an updated profile and completing assigned activities.
5. take initiative in learning new skills, collaborating with team members, and contributing ideas to the team.
6. take ownership of assigned projects and ensure timely execution with minimal supervision.
7. work closely with the founders on strategic initiatives, research, operations, and growth activities.
8. participate in daily reviews, provide progress updates, and maintain accountability for deliverables.
9. demonstrate a proactive mindset by identifying opportunities, solving problems, and contributing new ideas.
10. represent the organization professionally while collaborating with partners, colleagues, communities, and stakeholders.",Job offer upto ₹ 5LPA post internship,Internshala
data-analyst,operations,bevysquare social private limited,Noida,"₹ 8,000 - 10,000 /month",3 Months,"creative thinking, operations, coordination, canva, marketing campaigns, product strategy, influencer marketing","about the role

we are looking for a growth & operations intern who can assist in day-to-day startup activities across product, marketing, creator campaigns, and business operations.

this role is perfect for someone who wants to learn how a fast-growing startup works and gain hands-on experience in multiple business areas.

what you’ll work on

assisting in product and app testing
helping with canva creatives and basic design tasks
supporting influencer marketing campaigns
researching trends, competitors, and ideas
assisting in outreach and operational activities
coordinating with team members on different tasks
helping in campaign and ad-related execution

requirements

good communication skills
basic canva/design understanding
interest in startups and digital marketing
willingness to learn and take ownership
creative and problem-solving mindset

what you’ll learn
influencer marketing and creator economy
product management and execution
performance marketing and ads
startup operations and growth strategies
ui/ux and product thinking
research and business coordination
real-world execution and multitasking

why join us
fast learning environment
real responsibilities and exposure
opportunity to work on live campaigns and products
learn multiple business functions together
work closely with an experienced startup team",No PPO Mentioned,Internshala
data-analyst,telecalling,konnect insights,Mumbai,"₹ 3,000 - 5,000 /month",2 Months,"ms-excel, english proficiency (spoken), google sheets","we are looking for enthusiastic and energetic telecaller interns to support our flagship events scheduled in mumbai and delhi. this is an excellent opportunity for students and fresh graduates to gain hands-on experience in customer engagement, event operations, and business communication.

event dates:

1. mumbai event – 3 september 2026.
2. delhi event – 10 september 2026.



1. reach out to prospective attendees through phone calls.
2. invite, engage, and follow up with event registrants.
3. confirm attendance and maintain participation records.
4. answer basic event-related queries.
5. update call outcomes and notes in spreadsheets or crm tools.
6. coordinate with internal teams to ensure smooth event execution.",No PPO Mentioned,Internshala
data-analyst,operations,dekhega india,Delhi,"₹ 5,000 - 10,000 /month",2 Months,"ms-office, operations, ms-excel, data entry, english proficiency (spoken), english proficiency (written)","are you passionate about business operations and process management? do you have strong organizational skills, a problem-solving mindset, and a willingness to learn? look no further! dekhega india is seeking an operations intern to join our dynamic team. as an intern, you will have the opportunity to work on exciting operational projects and gain valuable hands-on experience in streamlining processes and supporting business functions.



1. assist in managing day-to-day operational activities and ensuring smooth workflow across teams.
2. coordinate with internal departments to track tasks and support project execution.
3. monitor operational processes and identify opportunities for improvement and efficiency.
4. maintain accurate records, reports, and operational documentation.
5. support data collection, analysis, and preparation of performance reports.
6. collaborate with team members to resolve operational challenges and ensure timely completion of tasks.
7. stay updated on operational best practices and provide support for ad hoc projects and initiatives as needed.

if you are a motivated self-starter with a passion for operations and business management, we want to hear from you! join us at dekhega india and take the first step towards a rewarding career in operations. apply now!",Job offer upto ₹ 5LPA post internship,Internshala
data-analyst,founders office,brevity technologies private limited,"Faridabad, Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida","₹ 3,500 - 10,000 /month","₹ 3,500 - 10,000 /month","presentation skills, problem solving, content marketing, canva, research and analytics, google suite (g suite), effective communication","1. working directly with the founder on strategy, business development, and ongoing company priorities
2. conducting market research, competitor analysis, and prospect list building for outreach campaigns
3. drafting and iterating on outreach messages, proposals, pitch decks, and client-facing documents
4. cold calling potential clients and partners, and following up on leads across the sales pipeline
5. coordinating across the team (bd, product, design) to ensure tasks move without bottlenecks
6. tracking action items, following up on open threads, and maintaining internal trackers/crm
7. supporting product thinking by writing user stories, prds, or feature briefs as needed
8. assisting with hiring tasks, including screening profiles, coordinating interviews, and onboarding interns
9. assisting in content creation, social media execution, or community building initiatives
10. jumping into whatever the business needs most that week; this is a generalist, execution-first role",Job offer upto ₹ 4.2LPA post internship,Internshala
data-analyst,market research,yuma energy,"Delhi, Hyderabad, Mumbai, Bangalore","₹ 5,000 - 10,000 /month",1 Month,"english proficiency (spoken), research and analytics","this is a field market research role.

calling students across delhi, mumbai, hyderabad & bangalore!
looking to gain hands-on experience in market research, consumer insights, and business strategy?

yuma energy is looking for 16 enthusiastic students (4 from each city) to join a short-term consumer research project for 2 weeks.



1. conduct on-ground consumer interviews.
2. get survey questionnaires completed by relevant respondents.
3. gather qualitative and quantitative market insights.
4. compile findings and present structured inputs to the marketing team.

if you're a student based in delhi, mumbai, hyderabad, or bangalore and enjoy interacting with people, solving problems, and learning from industry leaders, this is a great opportunity.",No PPO Mentioned,Internshala
data-analyst,marketing automation associate,neobhi,Bangalore,"₹ 5,000 - 10,000 /month",6 Months,"social media marketing, google adwords, email marketing, content marketing, business development, effective communication, data analysis","1. planning, executing, and optimizing ai-powered marketing campaigns across social media, email, content, and paid advertising channels.
2. creating and managing marketing automation workflows using ai, no-code, and low-code tools to improve efficiency and lead generation.
3. monitoring campaign performance, analyzing data, preparing reports, and identifying opportunities to improve marketing outcomes and customer engagement.",No PPO Mentioned,Internshala
data-analyst,customer support executive (women candidates),highway delite,Mysuru,"₹ 10,000 /month",6 Months,"client interaction, cold calling, ms-excel, computer skills, data entry, effective communication, customer support","1. handle inbound and outbound calls with customers and agents.
2. assist customers with fastag activation and recharge-related queries.
3. resolve failed payment and transaction-related issues.
4. maintain customer records using microsoft excel and internal company systems.
5. coordinate with internal teams to ensure timely issue resolution.
6. update customer information and prepare basic reports.
7. follow up with customers and agents to ensure timely resolution of queries.
8. maintain accurate documentation and support day-to-day operational activities.",No PPO Mentioned,Internshala
data-analyst,program coordinator lead,proximity foundation,Work from home,Unpaid,6 Months,"leadership, team management, project management, interpersonal skills, report generation, conflict management","role focus: owns end-to-end session delivery operations, mentor welfare, and student progress tracking across all cohorts at the cci. this is the operational heart of the program keeping mentors supported, students on track, and sessions running smoothly.



1. own end-to-end session delivery operations across all active cohorts
2. manage mentor welfare, scheduling, and session assignments
3. oversee student progress tracking across multiple cohorts
4. onboard and support session mentors and backup pool
5. liaise with the operations manager on program updates and issues
6. ensure smooth operations at the cci throughout each cohort

what does a typical week look like?

you'll spend your week checking in with mentors ahead of sessions, reviewing any attendance or student concern flags, coordinating the schedule, and doing a quick debrief after sessions wrap. most of the work happens asynchronously with a couple of focused touchpoints each week.

why does this role matter?
you'll directly shape whether young people aged 12-16 get a quality coding education. as the operational lead, you're the person who makes the program actually happen, and you'll see that impact every cohort.",No PPO Mentioned,Internshala
data-analyst,student volunteer,marpu foundation,Hyderabad,Unpaid,1 Month,"team management, computer skills, coordination, teamwork, effective communication, community management, organizational development","1. support community outreach efforts by managing inquiries and coordination
2. assist in operational tasks to drive sustainable projects forward
3. collaborate on initiatives focused on environmental and social change, gaining exposure to real-world ngo operations
4. facilitate volunteer-driven events and content creation",No PPO Mentioned,Internshala
data-analyst,operations,sembark tech private limited,Jaipur,"₹ 8,000 /month",6 Months,"ms-excel, effective communication, data preparation, google sheets","1. accurately enter, update, and maintain data in spreadsheets.
2. perform regular data validation to ensure accuracy and completeness.
3. identify and resolve data discrepancies.
4. organize and manage data records systematically.
5. collaborate with internal teams to gather required information.
6. assist in generating reports and data summaries.
7. adhere to sops and support routine data quality audits.

requirements:

1. basic proficiency in excel/google sheets.
2. good typing speed with high accuracy.
3. strong attention to detail.
4. fundamental understanding of data handling.
5. effective communication and coordination skills.
6. ability to perform repetitive tasks with consistency and reliability.",Job offer upto ₹ 3LPA post internship,Internshala
data-analyst,program management,"national e-governance division (negd), meity","Delhi, Noida","₹ 15,000 /month",3 Months,"project management, time management, critical thinking, analytical thinking, artificial intelligence, effective communication, data analysis","selected candidate's day to day responsibilities include:

1) engaging in policy drafting, project documentation, and operational monitoring.
2) planning content creation and communication strategies to promote digital india initiatives.
3) assisting with public sector training frameworks, skill alignment, and stakeholder coordination.
4) dealing with the management side of large governance infrastructures.
5) evaluating project proposals and policy analysis.",No PPO Mentioned,Internshala
data-analyst,data entry,arun pillai,"Kollam, Kottarakkara","₹ 6,500 - 1,20,000 /month",6 Months,"ms-office, ms-excel, english proficiency (spoken)","1.send messages to contacts
2.create little posters
3. data entry",No PPO Mentioned,Internshala
data-analyst,hospitality - hostel operations,the bunker hostels,"Manali, Bir, Kareri Khas","₹ 20,500 - 28,000 /month",4 Months,"time management, operations, computer skills, english proficiency (spoken), interpersonal skills, effective communication, self-learning","are you passionate about travel and looking to gain hands-on experience in hostel operations? look no further! join amadnomad adventures private limited (the bunker hostels) as a hostel operations intern and dive into the exciting world of hospitality management. as an intern, you will have the opportunity to work closely with the operations team, train on industry-standard software programs, analyze data, and streamline processes. your effective communication skills will be put to the test as you interact with all guests, ensuring a seamless experience for all. additionally, your creativity will shine through as you assist with content generation.



1. assist in managing daily hostel operations, including guest check-ins and check-outs, and cafe operations.
2. learning and using our property management (pms) and cafe management (pos) software to manage all operations.
3. communicating effectively with guests to address any issues or concerns.
4. driving hostel experiences, culture, and community.
5. creating content like short videos, pictures, etc, for stories and reels.
6. participating in staff training sessions to enhance your knowledge of hostel management.
7. taking on additional tasks and projects as needed to support the overall success of the hostel.

note - compensation includes a stay and food component of rs 15000/- as inclusive in the stipend.",Job offer upto ₹ 6LPA post internship,Internshala
data-analyst,founders office,triver integrated services private limited,Bangalore,"₹ 15,000 - 25,000 /month",6 Months,"ms-office, client relationship management (crm), english proficiency (spoken), english proficiency (written)","as a founder's office intern at triver integrated services private limited, you will have the opportunity to gain valuable experience in various aspects of business operations while working closely with our team of experienced professionals. your role will involve utilizing your skills in ms office, english proficiency (spoken & written), and client relationship management (crm) to assist in the day-to-day activities of the company.



1. support the directors in their day-to-day functions
2. assist in running the business review meetings
3. support in the recruitment of new staff
4. coordinate the digital marketing efforts of the company
5. set up and manage the crm system
6. help in setting up the processes for the organization
7. coordinate with different departments to ensure smooth communication and operations.
8. learn and adapt to different roles within the organization to gain a holistic understanding of business operations. 

if you are a proactive, detail-oriented individual looking to kickstart your career in management, this internship opportunity is perfect for you! join us at triver integrated services private limited and be a part of a dynamic and growing team.",No PPO Mentioned,Internshala
data-analyst,assistant,jp it staffing llc,Greater Noida,"₹ 4,000 - 7,000 /month","₹ 4,000 - 7,000 /month",english proficiency (spoken),"looking for a dynamic and motivated assistant onsite greater noida intern with english proficiency (spoken) to join our team at jp it staffing llc. as an intern, you will have the opportunity to work closely with our onsite team in greater noida and gain valuable hands-on experience in the it staffing industry. 



1. assist the on-site team with daily administrative tasks and support them in various projects
2. communicate with clients and candidates in english to coordinate interviews and placements
3. update and maintain database records accurately and efficiently
4. help in the screening and shortlisting of candidates for different job positions
5. participate in team meetings and contribute ideas for process improvement
6. assist in organizing and attending job fairs and recruitment events
7. learn about the recruitment process and develop essential skills for a successful career in hr and staffing.

if you are a proactive individual with excellent communication skills and a passion for the it industry, we want to hear from you! join us and kickstart your career in recruitment with jp it staffing llc. apply now!",No PPO Mentioned,Internshala
data-analyst,client relationship manager,fusion beauty,Delhi,"₹ 10,000 - 15,000 /month",2 Months,"client interaction, client relationship management (crm), client relationship, english proficiency (spoken), customer acquisition","1. make introduction calls to the existing customers of our next year's trade shows
2. mail the clients the proposals/quotations along with the tradeshow details
3. conduct follow-ups with the clients on the rebooking of the booth in our next year's exhibitions
4. assist the clients with the stall locations and floor plans
5. send customized emails to the clients as per the telephonic discussions
6. negotiate the prices on the standard prices & push the clients to finalize
7. offer the value-added proposal & discount to finalize the deal
8. conduct aggressive follow-ups with the clients for the finalization of the proposal
9. mail the entire finalized proposal to the client along with the proforma invoice
10. provide after-service to the clients by way of their brand promotion",Job offer upto ₹ 5LPA post internship,Internshala
data-analyst,training coordinator,mind appraisers,Hyderabad,"₹ 8,000 - 10,000 /month","₹ 8,000 - 10,000 /month","social media marketing, content writing, ms-powerpoint, operations, ms-excel, coordination, canva","as a training coordinator intern at mind appraisers, you will have the opportunity to gain hands-on experience in the field of operations and talent development. you will work closely with our team to coordinate training sessions, develop training materials using canva and ms-powerpoint, and assist in content writing for various programs. your excellent interpersonal skills will be crucial as you liaise with trainers and participants to ensure smooth logistics management and effective communication.



1. assist in the coordination of training sessions and workshops
2. develop visually appealing training materials using canva and ms-powerpoint
3. support in content writing and editing for training programs
4. manage logistics for training events, including scheduling and venue coordination
5. conduct interview coordination for potential trainers and participants
6. utilize social media marketing to promote training programs and engage with participants
7. collaborate with team members to ensure the overall success of training initiatives
8. troubleshoot any operational, technical, or coordination-related challenges during sessions
9. collect and document feedback from sessions and share key insights for improvement
10. maintain accurate records of attendance, participant queries, and resolutions

if you are a proactive and detail-oriented individual with a passion for learning and development, this internship opportunity is perfect for you. join us at mind appraisers and take your skills to the next level!",No PPO Mentioned,Internshala
data-analyst,business development & client relations,across the globe (atg),Work from home,"₹ 2,600 - 12,500 /month",6 Months,"negotiation, strategy, client relationship management (crm), business research, client relationship","we are looking for motivated and detail-oriented business development & client relations interns to join our growing team at across the globe (atg). selected interns will work directly with leadership and cross-functional teams across our business verticals- gaining hands-on exposure to sectors including saas, ai, hrtech, edtech, and technology consulting. this is a high-impact role where you will contribute to real client interactions, market research, and operational initiatives from day one. interns who demonstrate strong performance may be considered for strategic projects, enterprise-level discussions, and domestic or international expansion activities.



1. engage with clients to understand their needs and document actionable business insights
2. conduct market mapping and competitor research to support strategic decision-making
3. identify operational gaps and assist in developing practical, data-backed solutions
4. support lead generation, prospect outreach, and client relationship nurturing activities
5. prepare structured reports, performance summaries, and professional presentations
6. coordinate with internal teams to track project execution and ensure workflow alignment
7. participate in strategy meetings and communicate research findings to stakeholders
8. monitor industry trends, customer behavior patterns, and emerging market opportunities
9. contribute to process improvement initiatives to enhance operational efficiency
10. maintain organized documentation and records across all ongoing business activities",Job offer upto ₹ 7LPA post internship,Internshala
data-analyst,admissions operation,newton school,Hyderabad,"₹ 15,000 - 20,000 /month",3 Months,"time management, operations, coordination, effective communication","we are seeking an enthusiastic and people-oriented 'admissions operation intern' to assist the admissions team at newton school of technology. this is a great opportunity for those looking to gain hands-on experience in student operations, event coordination, and admissions processes.



1. organize and conduct campus tours for prospective students and parents.
2. make follow-up calls to students who miss sessions or important events.
3. track and monitor attendance for scheduled sessions, webinars, and workshops.
4. maintain accurate records of attendance, visitor logs, and communications.
5. collaborate with the central team to ensure smooth execution of tours and events.
6. support the admissions team with operational and administrative tasks as needed.",No PPO Mentioned,Internshala
data-analyst,data analytics,cancer herbalist,Bangalore,"₹ 5,000 /month","₹ 5,000 /month","python, sql, data analytics, ms-excel, data science, power bi, tableau","as a data analytics intern at our cancer herbalist company, you will have the opportunity to apply your skills in python, sql, ms-excel, tableau, data analytics, data science, and power bi to make a meaningful impact in the fight against cancer. you will work closely with our team of experts to analyze and visualize data, identify trends, and develop insights that will drive decision-making and optimize our operations.

1. collaborate with team members to gather and analyze data related to cancer research and herbal treatments.
2. develop and maintain databases to store and organize large datasets for easy access and analysis.
3. create dashboards and reports using tableau and power bi to present findings and insights to stakeholders.
4. assist in developing predictive models and algorithms to improve the effectiveness of our herbal treatments.
5. conduct quality assurance tests to ensure data accuracy and integrity.
6. stay up-to-date on the latest trends and technologies in data analytics and apply them to our projects.
7. present findings and recommendations to the team and contribute to strategic decision-making processes. 

join us in our mission to revolutionize cancer treatment through data-driven insights and innovative herbal solutions. apply now and be part of our dynamic and dedicated team!",No PPO Mentioned,Internshala
data-analyst,hr operations,bnm business solutions llp,"Thane, Navi Mumbai, Kalyan, Vashi, Mumbai, Panvel","₹ 7,500 /month",3 Months,"social media marketing, coordination, employment engagement, onboarding","1. manage end-to-end onboarding activities and coordinate with selected candidates for joining formalities and documentation.
2. maintain employee records, hr trackers, and assist with hrms-related activities.
3. coordinate interview schedules, campus drives, and recruitment operations.
4. handle induction, orientation, and employee engagement activities.
5. manage the company's social media pages and create content for hiring, events, and employer branding.
6. prepare hr communications, and other employee-related documents.
7. provide administrative and operational support while ensuring smooth day-to-day hr functioning",No PPO Mentioned,Internshala
data-analyst,data science,vidyavya solutions private limited,Pune,"₹ 10,000 - 20,000 /month",6 Months,"python, sql, data analytics, machine learning, data science","1. work on live industry projects under the guidance of experienced professionals.
2. contribute to real client & internal projects
3. gain practical experience through daily business operations",No PPO Mentioned,Internshala
data-analyst,operations,sargam ventures private limited,Guwahati,"₹ 6,000 - 7,000 /month",3 Months,"ms-office, ms-word, ms-powerpoint, ms-excel, english proficiency (spoken), english proficiency (written), assamese proficiency (spoken)","as an operations intern at sargam ventures private limited, you will have the opportunity to gain hands-on experience in a dynamic and fast-paced environment. you will be responsible for supporting the day-to-day operations of the company and assisting with various projects.



1. assist with general administrative tasks such as data entry, filing, and organizing documents.
2. utilize ms-office suite to create and edit documents, presentations, and spreadsheets.
3. communicate effectively with team members and external stakeholders.
4. assist in coordinating schedules and meetings.
5. conduct research and analysis to support decision-making processes.
6. collaborate with team members to streamline operational processes and improve efficiency.
7. demonstrate strong english proficiency in both spoken and written communication.

if you are a self-motivated individual with strong organizational skills and a willingness to learn, then this internship is the perfect opportunity for you to kickstart your career in operations management. apply now and be a part of our innovative team at sargam ventures private limited!",Job offer upto ₹ 3.2LPA post internship,Internshala
data-analyst,ground operations,cityflo,Hyderabad,"₹ 10,000 - 15,000 /month",6 Months,"operations, coordination","1. monitor and coordinate daily route operations
2. track trips and ensure smooth execution of services
3. coordinate with captains/drivers and relevant stakeholders
4. handle operational escalations and provide timely resolutions
5. support on-ground operations to maintain service quality",Job offer upto ₹ 3LPA post internship,Internshala
data-analyst,business analytics,wipro,Bangalore,Not provided,3 Months,"leadership, time management, critical thinking, problem solving, business analysis, teamwork, market research","1. collaborating with global teams and senior leaders on internal initiatives aligned to our strategic partners.

2. undertaking initiatives that offer practical experience and exposure to the wipro organization.

3. identifying business requirements, translating them into an actionable plan, and producing high-quality work.

4. participating actively in key meetings with partner leaders and cross-functional stakeholders.

5. engaging and networking with senior leaders who provide focused mentorship and leadership coaching.

6. demonstrating leadership qualities, self-confidence, and a proactive attitude while working collaboratively in a team environment.",No PPO Mentioned,Internshala
data-analyst,"video editing, content creation, social media",design culture,Raipur,"₹ 3,000 - 5,000 /month","₹ 3,000 - 5,000 /month","content writing, video editing, adobe premiere pro, videography, storytelling, capcut, visual storytelling","selected intern's day-to-day responsibilites include:

1. shoot short-form videos (reels) at showroom, sites, and product setups.
2. edit high-quality reels with proper cuts, transitions, music, and basic color correction.
3. understand content requirements and convert them into engaging visual stories.
4. stay updated with current instagram trends and apply them where relevant.
5. ensure all content maintains a clean, premium, and detail-oriented presentation.",No PPO Mentioned,Internshala
data-analyst,product marketing,emversity,Bangalore,"₹ 15,000 /month",3 Months,"digital marketing, market analysis, ms-excel, content marketing, english proficiency (spoken), google sheets","campaign execution
1- help execute marketing campaigns across channels
2- write campaign copies, whatsapp messages, and student-facing communication
3- support campaign launches and ensure campaigns go live smoothly across
platforms
marketing operations
1- assist in setting up journeys, or campaign workflows across marketing tools
2- support day-to-day campaign coordination and execution
3- help maintain campaign documentation and timelines
analytics & reporting
1- maintain campaign trackers and marketing dashboards
2- analyze campaign performance and funnel metrics
3- prepare reports and insights using excel or google sheets
strategy support
1- use campaign data to identify patterns and insights
2- support the team with research and inputs for improving campaigns
3- assist in evaluating what worked, what didn’t, and what ca",No PPO Mentioned,Internshala
data-analyst,hr consultant,neuralbits technologies private limited,Mumbai,"₹ 8,000 - 10,000 /month",3 Months,"operations, interpersonal skills, effective communication, negotiations","1. assist in posting job openings on job portals and social media platforms.
2. screen resumes, shortlist candidates, and coordinate interview schedules with hiring managers.
3. maintain candidate databases, recruitment trackers, and other hiring records.
4. support the onboarding process by preparing offer letters, joining kits, and collecting required documents from new hires.
5. maintain employee records, attendance, leave data, and other hr documentation.
6. assist with day-to-day hr administrative tasks and prepare hr reports, trackers, and mis sheets.
7. support employee engagement initiatives, internal communications, and feedback collection activities.
8. assist in communicating hr policies, maintaining compliance-related documentation, and ensuring the confidentiality of employee information.",No PPO Mentioned,Internshala
